time  phigh1   phigh2
    0 1.000000 0.000000
    1 0.943102 0.043102
    2 0.891893 0.081893
    3 0.845802 0.116802
    4 0.804319 0.148219
    5 0.766985 0.176495
    6 0.733385 0.201944
    7 0.703144 0.224847
    8 0.675928 0.245461
    9 0.651433 0.264013
   10 0.629386 0.280707
   11 0.609543 0.295733
   12 0.591685 0.309255
   13 0.575612 0.321426
   14 0.561147 0.332379
   15 0.548129 0.342237
   16 0.536412 0.351110
   17 0.525867 0.359095
   18 0.516380 0.366285
   19 0.507842 0.372757
   20 0.500158 0.378581
   21 0.493242 0.383823
   22 0.487017 0.388540
   23 0.481416 0.392786
   24 0.476374 0.396608
   25 0.471837 0.400047
   26 0.467753 0.403142
   27 0.464078 0.405928
   28 0.460770 0.408435
   29 0.457793 0.410691
   30 0.455113 0.412722
   31 0.452702 0.414550
   32 0.450532 0.416195
   33 0.448578 0.417675
   34 0.446821 0.419008
   35 0.445238 0.420207
   36 0.443815 0.421286
   37 0.442533 0.422257
   38 0.441380 0.423132
   39 0.440342 0.423918
   40 0.439407 0.424627
   41 0.438567 0.425264
   42 0.437810 0.425837
   43 0.437129 0.426354
   44 0.436516 0.426818
   45 0.435964 0.427236
   46 0.435468 0.427613
   47 0.435021 0.427951
   48 0.434619 0.428256
   49 0.434257 0.428530
   50 0.433931 0.428777
   51 0.433638 0.429000
   52 0.433371 0.429197
   53 0.433132 0.429374
   54 0.432916 0.429534
   55 0.432721 0.429678
   56 0.432547 0.429808
   57 0.432389 0.429924
   58 0.432248 0.430029
   59 0.432120 0.430123
   60 0.432005 0.430208
   61 0.431902 0.430285
   62 0.431809 0.430354
   63 0.431726 0.430416
   64 0.431650 0.430471
   65 0.431583 0.430521
   66 0.431522 0.430567
   67 0.431467 0.430607
   68 0.431417 0.430644
   69 0.431373 0.430677
   70 0.431333 0.430706
   71 0.431297 0.430733
   72 0.431264 0.430757
   73 0.431235 0.430779
   74 0.431209 0.430798
   75 0.431185 0.430815
   76 0.431164 0.430831
   77 0.431145 0.430845
   78 0.431128 0.430858
   79 0.431112 0.430870
   80 0.431098 0.430880
   81 0.431086 0.430889
   82 0.431075 0.430898
   83 0.431064 0.430905
   84 0.431055 0.430912
   85 0.431047 0.430918
   86 0.431040 0.430923
   87 0.431033 0.430928
   88 0.431027 0.430933
   89 0.431021 0.430937
   90 0.431017 0.430940
   91 0.431012 0.430944
   92 0.431008 0.430947
   93 0.431005 0.430949
   94 0.431002 0.430952
   95 0.430999 0.430954
   96 0.430996 0.430956
   97 0.430994 0.430957
   98 0.430992 0.430959
   99 0.430990 0.430960
  100 0.430988 0.430962
