time  phigh1   phigh2
    0 1.000000 0.000000
    1 0.571885 0.166489
    2 0.465772 0.238220
    3 0.407163 0.260062
    4 0.375114 0.272007
    5 0.352912 0.276700
    6 0.349912 0.291409
    7 0.335215 0.289011
    8 0.326513 0.289201
    9 0.321798 0.291121
   10 0.318189 0.292591
   11 0.315368 0.293740
   12 0.311663 0.293194
   13 0.310051 0.294134
   14 0.308733 0.294904
   15 0.340141 0.328041
   16 0.368791 0.358136
   17 0.358630 0.349195
   18 0.351089 0.342690
   19 0.343572 0.336061
   20 0.369712 0.362967
   21 0.358912 0.352830
   22 0.348542 0.343039
   23 0.338531 0.333537
   24 0.333296 0.328748
   25 0.355591 0.351438
   26 0.377070 0.373267
   27 0.366630 0.363140
   28 0.357298 0.354087
   29 0.345807 0.342846
   30 0.359066 0.356331
   31 0.347986 0.345455
   32 0.338691 0.336343
   33 0.330261 0.328080
   34 0.339972 0.337943
   35 0.358345 0.356454
   36 0.348457 0.346692
   37 0.357705 0.356055
   38 0.355289 0.353745
   39 0.348041 0.346593
   40 0.346310 0.344952
   41 0.356838 0.355562
   42 0.353453 0.352253
   43 0.348568 0.347439
   44 0.357284 0.356220
   45 0.352908 0.351904
   46 0.361103 0.360155
   47 0.358849 0.357953
   48 0.366470 0.365623
   49 0.371976 0.371174
   50 0.372397 0.371636
   51 0.370207 0.369486
   52 0.366633 0.365949
   53 0.363288 0.362638
   54 0.370057 0.369439
   55 0.366635 0.366047
   56 0.363423 0.362863
   57 0.360405 0.359872
   58 0.363205 0.362697
   59 0.361201 0.360716
   60 0.359313 0.358851
   61 0.357986 0.357545
   62 0.356735 0.356313
   63 0.359531 0.359128
   64 0.362609 0.362224
   65 0.360769 0.360400
   66 0.361163 0.360810
   67 0.361114 0.360776
   68 0.360650 0.360326
   69 0.361449 0.361139
   70 0.361390 0.361092
   71 0.362143 0.361857
   72 0.366862 0.366588
   73 0.370554 0.370290
   74 0.370140 0.369886
   75 0.374019 0.373776
   76 0.375403 0.375169
   77 0.376721 0.376496
   78 0.379864 0.379648
   79 0.382860 0.382652
   80 0.385347 0.385146
   81 0.389187 0.388994
   82 0.393217 0.393031
   83 0.396345 0.396165
   84 0.400405 0.400232
   85 0.403931 0.403764
   86 0.408006 0.407845
   87 0.411556 0.411400
   88 0.414263 0.414113
   89 0.419935 0.419790
   90 0.423671 0.423531
   91 0.426240 0.426105
   92 0.429037 0.428906
   93 0.430725 0.430599
   94 0.429715 0.429593
   95 0.430051 0.429932
   96 0.430049 0.429935
   97 0.429727 0.429616
   98 0.428142 0.428035
   99 0.427568 0.427464
  100 0.426703 0.426602
